heading,subheading,name,option1,option2,option3,option4,correct_option
Biology and Its Branches,Major Fields of Biology – Zoology,Zoology is the branch of Biology that studies:,Plants and their growth,"Animals including their structure, function, behaviour, and diversity",Microorganisms such as bacteria,Fossils of ancient organisms,"Animals including their structure, function, behaviour, and diversity"
Biology and Its Branches,Major Fields of Biology – Zoology,Which of the following is NOT studied in Zoology?,Behaviour of animals,Diversity of animals,Structure of animals,Growth and reproduction of plants,Growth and reproduction of plants
Biology and Its Branches,Major Fields of Biology – Zoology,A scientist studying the migration patterns of birds belongs to which branch?,Botany,Ecology,Zoology,Marine Biology,Zoology
Biology and Its Branches,Major Fields of Biology – Zoology,The function and structure of animal organs is studied under:,Microbiology,Zoology,Palaeontology,Taxonomy,Zoology
Biology and Its Branches,Major Fields of Biology – Botany,Botany is defined as the study of:,Microorganisms and their habitats,"Plants including their structure, growth, reproduction, and environment interactions",Animals and their behaviour,Fossils preserved in rocks,"Plants including their structure, growth, reproduction, and environment interactions"
Biology and Its Branches,Major Fields of Biology – Botany,A botanist would most likely study:,The spread of malaria by mosquitoes,How coral reefs support marine life,The reproduction mechanisms of flowering plants,The causes of genetic diseases,The reproduction mechanisms of flowering plants
Biology and Its Branches,Major Fields of Biology – Botany,Which major field of Biology deals with plants' interactions with their environment?,Zoology,Botany,Microbiology,Anatomy,Botany
Biology and Its Branches,Major Fields of Biology – Botany,Studying the internal structure and growth of a mango tree falls under:,Zoology,Microbiology,Botany,Ecology,Botany
Biology and Its Branches,Major Fields of Biology – Microbiology,Microbiology is the study of:,Macroscopic plants and animals,Microorganisms such as bacteria and microscopic fungi,Distribution of organisms geographically,Fossils and evolutionary history,Microorganisms such as bacteria and microscopic fungi
Biology and Its Branches,Major Fields of Biology – Microbiology,Which of the following is included in the study of Microbiology?,Habitats and reproduction of microorganisms,Structure of dinosaur fossils,Behaviour of large animals,Distribution of plants,Habitats and reproduction of microorganisms
Biology and Its Branches,Major Fields of Biology – Microbiology,The impact of microorganisms on human health and the environment is studied under:,Zoology,Botany,Microbiology,Palaeontology,Microbiology
Biology and Its Branches,Major Fields of Biology – Microbiology,A scientist researching the structure of bacteria is working in the field of:,Botany,Ecology,Taxonomy,Microbiology,Microbiology
Biology and Its Branches,Sub-fields – Morphology & Anatomy,Morphology studies:,"Outward appearance (shape, colour, pattern) and internal structures like organs",The functioning of body parts,Transfer of characteristics from parents to offspring,Chemical reactions in living systems,"Outward appearance (shape, colour, pattern) and internal structures like organs"
